"netherlands","municipality","Aa en Hunze","@aaenhunze"
"netherlands","municipality","Aalburg","@gemeenteaalburg"
"netherlands","municipality","Aalsmeer","@Aalsmeer_NL"
"netherlands","municipality","Aalten","@gemeente_aalten	"
"netherlands","municipality","Achtkarspelen","@achtkarspelen"
"netherlands","municipality","Alblasserdam","@GemAlblasserdam"
"netherlands","municipality","Albrandswaard","	@ALBRANDSWAARDzh"
"netherlands","municipality","Alkmaar","@gemeentealkmaar"
"netherlands","municipality","Almelo","@Gemeente_Almelo	"
"netherlands","municipality","Almere","@almere	"
"netherlands","municipality","Alphen aan den Rijn","@gemeenteaadr"
"netherlands","municipality","Alphen-Chaam","@gemeenteAC"
"netherlands","municipality","Ameland","@AmelandGemeente"
"netherlands","municipality","Amersfoort","@Gem_Amersfoort"
"netherlands","municipality","Amstelveen","@Gem_Amstelveen	"
"netherlands","municipality","Amsterdam","@AmsterdamNL"
"netherlands","municipality","Apeldoorn","@gem_apeldoorn"
"netherlands","municipality","Appingedam",
"netherlands","municipality","Arnhem","@gemeentearnhem"
"netherlands","municipality","Assen","@Gemeente_Assen"
"netherlands","municipality","Asten","@Gemeente_Asten"
"netherlands","municipality","Baarle-Nassau",
"netherlands","municipality","Baarn","@GemeenteBaarn"
"netherlands","municipality","Barendrecht","@BARENDRECHTzh"
"netherlands","municipality","Barneveld","	@BarneveldInfo"
"netherlands","municipality","Bedum",
"netherlands","municipality","Beek","@GemBeek"
"netherlands","municipality","Beemster","@gem_beemster"
"netherlands","municipality","Beesel","@Gemeente_Beesel"
"netherlands","municipality","Bellingwedde","@gemBellingwedde"
"netherlands","municipality","Berg en Dal","@bergendalgem"
"netherlands","municipality","Bergeijk","	@bergeijkgem"
"netherlands","municipality","Bergen (Limburg)","@Gemeente_Bergen"
"netherlands","municipality","Bergen (Noord-Holland)","	@gemeentebergen"
"netherlands","municipality","Bergen op Zoom","@Gemeente_BoZ"
"netherlands","municipality","Berkelland","@Gem_Berkelland	"
"netherlands","municipality","Bernheze","@bernhezetwit"
"netherlands","municipality","Best","@GemeenteBest"
"netherlands","municipality","Beuningen","	@gem_Beuningen"
"netherlands","municipality","Beverwijk","@gem_Beverwijk	"
"netherlands","municipality","Binnenmaas","@Binnenmaas"
"netherlands","municipality","Bladel","	@gemeente_Bladel"
"netherlands","municipality","Blaricum","	@Gem_Blaricum"
"netherlands","municipality","Bloemendaal","@bloemendaaltwit"
"netherlands","municipality","Bodegraven-Reeuwijk","@gem_BR"
"netherlands","municipality","Boekel","@gemeente_boekel	"
"netherlands","municipality","Borger-Odoorn","	@gemeenteBO"
"netherlands","municipality","Borne","@Gem_Borne"
"netherlands","municipality","Borsele","@gemeenteborsele"
"netherlands","municipality","Boxmeer","@Boxmeer"
"netherlands","municipality","Boxtel","@Boxtel"
"netherlands","municipality","Breda","@breda	"
